ingredient_id,ingredient,ingredient_map,alcohol_type
301,"club soda, chilled, to top",club soda,NULL
302,club soda (optional),club soda,NULL
303,club soda,club soda,NULL
304,coca-cola,coca-cola,NULL
305,cola,coca-cola,NULL
306,coca-cola syrup**,coca-cola syrup,NULL
307,cocalero clásico herbal spirit,cocalero clásico herbal spirit,liqueur
308,cocchi americano,cocchi americano,liqueur
309,cocchi americano aperitif,cocchi americano aperitif,liqueur
310,cocchi americano aperitivo,cocchi americano aperitif,liqueur
311,cocchi barolo chinato,cocchi barolo chinato,liqueur
312,garnish: cocktail onion,cocktail onion,NULL
313,cocktail umbrella,cocktail umbrella,NULL
314,cocoa nib-infused campari*,cocoa nib-infused campari,liqueur
315,cocoa nibs,cocoa nibs,NULL
316,cocoa powder,cocoa powder,NULL
317,coco lopez-matcha green tea powder mix,coco lopez-matcha green tea powder mix,NULL
318,coconut cream*,coconut cream,NULL
319,coconut cream,coconut cream,NULL
320,coconut-infused bourbon*,coconut-infused bourbon,bourbon
321,coconut-lemongrass syrup,coconut-lemongrass syrup,NULL
322,kalani coconut liqueur,coconut liqueur,liqueur
323,rhum clément mahina coco liqueur,coconut liqueur,liqueur
324,coconut milk,coconut milk,NULL
325,coconut rum,coconut rum,rum
326,coconut water,coconut water,NULL
327,"dark-roast coffee, freshly brewed",coffee,NULL
328,coffee (iced or hot),coffee,NULL
329,brewed coffee,coffee,NULL
330,coffee beans,coffee beans,NULL
331,coffee ice cream,coffee ice cream,NULL
332,coffee liqueur,coffee liqueur,liqueur
333,caffè borghetti coffee liqueur,coffee liqueur,liqueur
334,the block coffee liqueur,coffee liqueur,liqueur
335,st. george nola coffee liqueur,coffee liqueur,liqueur
336,cognac,cognac,cognac
337,d’ussé cognac,cognac,cognac
338,rémy martin xo cognac,cognac,cognac
339,cold brew-coffee,cold brew coffee,NULL
340,cold-brew coffee,cold brew coffee,NULL
341,cold brew coffee,cold brew coffee,NULL
342,combier,combier,NULL
343,condensed milk,condensed milk,NULL
344,cotton & reed allspice dram,cotton & reed allspice dram,NULL
345,cran-apple juice,cran-apple juice,NULL
346,cranberry,cranberries,NULL
347,cranberries,cranberries,NULL
348,cranberry juice,cranberry juice,NULL
349,cranberry juice cocktail,cranberry juice cocktail,NULL
350,cream,cream,NULL
351,cream of coconut,cream of coconut,NULL
352,cream of coconut (such as coco lopez),cream of coconut,NULL
353,cream sherry,cream sherry,NULL
354,cream soda,cream soda,NULL
355,creme de banane,creme de banane,liqueur
356,creme de cacao,creme de cacao,liqueur
357,giffard creme de cacao,creme de cacao,liqueur
358,marie brizard white creme de cacao,creme de cacao,liqueur
359,creme de cassis,creme de cassis,liqueur
360,lejay crème de cassis,creme de cassis,liqueur
361,andes creme de menthe,creme de menthe,liqueur
362,creme de menthe,creme de menthe,liqueur
363,giffard creme de pamplemousse rose liqueur,creme de pamplemousse rose liqueur,liqueur
364,creme de peche,creme de peche,liqueur
365,creme de violette,creme de violette,liqueur
366,creme yvette,creme yvette,liqueur
367,croft pink port,croft pink port,port wine
368,crude bitterless marriage hibiscus lavender oak bitters,crude bitterless marriage hibiscus lavender oak bitters,NULL
369,cucumber slices,cucumber,NULL
370,cucumber spear,cucumber,NULL
371,"cucumber wheel, sliced thinly",cucumber,NULL
372,"cucumber, cut into quarter-inch slices",cucumber,NULL
373,garnish: cucumber slice,cucumber,NULL
374,thin cucumber slices,cucumber,NULL
375,"wheels, thickly sliced",cucumber,NULL
376,cucumber slice,cucumber,NULL
377,cucumber,cucumber,NULL
378,cucumber bitters,cucumber bitters,NULL
379,fresh cucumber juice,cucumber juice,NULL
380,cucumber juice,cucumber juice,NULL
381,cucumber vodka,cucumber vodka,vodka
382,pierre ferrand dry curaçao ancienne methode,curaçao,liqueur
383,pierre ferrand dry curaçao,curaçao,liqueur
384,fresh curry leaf,curry leaf,NULL
385,curry leaves,curry leaves,NULL
386,cynar,cynar,NULL
387,cynar amaro,cynar amaro,liqueur
388,cyril zangs ciderman apple cider,cyril zangs ciderman apple cider,NULL
389,dale degroff’s pimento aromatic bitters,dale degroff’s pimento aromatic bitters,NULL
390,dark chocolate,dark chocolate,NULL
391,dark creme de cacao,dark creme de cacao,liqueur
392,dark rum (such as cruzan single barrel estate),dark rum,rum
393,garnish: crumbled dehydrated blueberries,dehydrated blueberries,NULL
394,dehydrated lime wheel,dehydrated lime wheel,NULL
395,garnish: dehydrated orange wheel,dehydrated orange wheel,NULL
396,distilleria gualco camomila,distilleria gualco camomila,liqueur
397,dr. adam elmegirab's the dead rabbit orinoco bitters,dr. adam elmegirab's the dead rabbit orinoco bitters,NULL
398,dragon fruit slice covered with electricdust,dragon fruit slice covered with electricdust,NULL
399,dragon fruit syrup*,dragon fruit syrup,NULL
400,drambuie,drambuie,liqueur
401,dried apple slice,dried apple slice,NULL
402,dried black cherries,dried black cherries,NULL
403,dried burdock root chip,dried burdock root chip,NULL
404,dried organic rosebuds,dried organic rosebuds,NULL
